OBJECTID_1,GROWTH_RATE
1720,0.012
1721,0
1722,0.015
1723,-0.001
1724,0.058
1725,0.017
1726,0.071
1727,0.028
1728,0.024
1729,-0.003
1730,-0.021
1731,0.014
1732,0.03
1733,0.005
1734,-0.013
1735,0.009
1736,0.008
1737,-0.001
1738,0.003
1739,0.032
1740,0.032
1741,0.03
1742,0.038
1743,0.009
1744,0.021
1745,0.021
1746,-0.004
1747,-0.031
1748,-0.007
1749,0.024
1750,0.014
1751,0.02
1752,0.016
1753,0.008
1754,-0.004
1755,0
1756,0.035
1757,0.022
1758,0.005
1759,0.012
1760,0.037
1761,0.008
1762,0.02
1763,0.021
1764,0.008
1765,0.016
1766,0.022
1767,0.013
1768,0.039
1769,0.048
1770,0.003
1771,0.017
1772,0.017
1773,0.026
1774,-0.002
1775,-0.001
1776,-0.004
1777,0.016
1778,0.021
1779,-0.029
1780,0.024
1781,0.022
1782,-0.01
1783,0.024
1784,-0.004
1785,0.004
1786,0.021
1787,0.06
1788,0.018
1789,-0.003
1790,-0.045
1791,0.006
1792,0.003
1793,0.02
1794,0.017
1795,0.015
1796,-0.005
1797,0.02
1798,-0.019
1799,0.022
1800,0.021
1801,0.012
1802,0.007
1803,0.017
1804,0
1805,-0.001
1806,0.021
1807,-0.004
1808,0.009
1809,-0.001
1810,0.032
1811,0.021
1812,0.109
1813,-0.001
1814,-0.017
1815,0.024
1816,-0.003
1817,-0.003
1818,0.024
1819,-0.003
1820,-0.003
1821,-0.001
1822,0.011
1823,-0.004
1824,0.01
1825,0.002
1826,0.021
1827,0.02
1828,-0.005
1829,0.016
1830,0.003
1831,-0.003
1832,-0.008
1833,0.024
1834,0.025
1835,0.014
1836,0.013
1837,0.038
1838,0.025
1839,-0.01
1840,0.032
1841,0.026
1842,0.02
1843,-0.011
1844,-0.011
1845,0.02
1846,0.001
1847,0
1848,-0.003
1849,0.023
1850,0.014
1851,0.024
1852,-0.015
1853,0.176
1854,-0.005
1855,0.014
1856,0.018
1857,0.029
1858,0.001
1859,0.016
1860,0.024
1861,0.036
1862,-0.002
1863,-0.007
1864,0.021
1865,0.018
1866,0.015
1867,-0.005
1868,-0.004
1869,0.005
1870,-0.009
1871,-0.003
1872,0.029
1873,0.018
1874,0.017
1875,0
1876,0.004
1877,-0.018
1878,-0.011
1879,0.002
1880,0.019
1881,0.027
1882,0.031
1883,0.016
1884,0.011
1885,0.022
1886,0.003
1887,0.002
1888,-0.014
1889,-0.007
1890,0.012
1891,-0.006
1892,-0.006
1893,-0.013
1894,-0.006
1895,-0.003
1896,0.01
1897,0.015
1898,0.007
1899,0.015
1900,0.019
1901,0.011
1902,0.014
1903,0.019
1904,0.023
1905,-0.006
1906,-0.006
1907,-0.009
1908,-0.014
1909,0.001
1910,0.006
1911,0.008
1912,-0.002
1913,0
1914,-0.021
1915,-0.006
1916,0.063
1917,0.014
1918,-0.002
1919,-0.011
1920,0.014
1921,0
1922,0.015
1923,0.03
1924,-0.007
1925,0.008
1926,0.014
1927,0.002
1928,-0.001
1929,0.055
1930,-0.004
1931,0.03
1932,-0.003
1933,0.012
1934,0.015
1935,0.001
1936,0.024
1937,-0.003
1938,0.002
1939,-0.023
1940,0.004
1941,0.011
1942,0.045
1943,-0.002
1944,0.015
1945,0.014
1946,0.014
1947,0.001
1948,0.009
1949,0.002
1950,0.034
1951,0.053
1952,0.025
1953,0.026
1954,0.037
1955,0.044
1956,-0.016
1957,0.016
1958,0.021
1959,0.037
1960,-0.003
1961,0.033
1962,0.011
1963,0.142
1964,0.001
1965,0.038
1966,-0.006
1967,0.009
1968,0.003
1969,-0.005
1970,-0.001
1971,-0.003
1972,0.014
1973,0.005
1974,-0.003
1975,-0.006
1976,-0.004
1977,0.024
1978,0.008
1979,0.033
1980,0.019
1981,0
1982,-0.001
1983,0.015
1984,-0.012
1985,0.012
1986,0.005
1987,0
1988,0.081
1989,0.02
1990,0.02
1991,0
1992,0.024
1993,0.007
1994,-0.047
1995,0.029
1996,0.022
1997,0.005
1998,0.007
1999,0.014
2000,0.04
2001,0.011
2002,0.034
2003,0.014
2004,0.016
2005,0.016
2006,0.008
2007,0.018
2008,0.015
2009,-0.007
2010,-0.015
2011,0.007
2012,0.024
2013,0.001
2014,0.014
2015,0.022
2016,-0.003
2017,-0.006
2018,0.006
2019,0.021
2020,-0.004
2021,0.025
2022,-0.003
2023,0.014
2024,0.011
2025,0.009
2026,0.019
2027,0.026
2028,0.011
2029,0.03
2030,0.023
2031,0.019
2032,-0.016
2033,0.023
2034,0.011
2035,0.003
2036,-0.024
2037,0.008
2038,0.007
2039,0.015
2040,0.015
2041,0.015
2042,0.035
2043,-0.016
2044,0.016
2045,0.014
2046,-0.003
2047,0.033
2048,0.032
2049,0.014
2050,0.021
2051,0.011
2052,0.025
2053,0.015
2054,0.057
2055,-0.049
2056,0.015
2057,0.016
2058,0.015
2059,0.007
2060,-0.007
2061,-0.003
2062,0.012
2063,0.016
2064,0.016
2065,0.02
2066,0.008
2067,-0.001
2068,0
2069,0.003
2070,0.014
2071,0.026
2072,0.034
2073,0.02
2074,0.018
